timestamp;go_goroutines;go_memstats_alloc_bytes;go_memstats_gc_cpu_fraction;go_memstats_gc_sys_bytes;go_memstats_heap_alloc_bytes;go_memstats_heap_idle_bytes;go_memstats_heap_inuse_bytes;go_memstats_heap_objects;go_memstats_heap_released_bytes;go_memstats_heap_sys_bytes;go_memstats_last_gc_time_seconds;go_memstats_mspan_inuse_bytes;go_memstats_next_gc_bytes;go_memstats_other_sys_bytes;go_memstats_stack_inuse_bytes;go_memstats_stack_sys_bytes;go_threads;node_boot_time_seconds;node_entropy_available_bits;node_filefd_allocated;node_load1;node_load15;node_load5;node_memory_Active_anon_bytes;node_memory_Active_bytes;node_memory_Active_file_bytes;node_memory_AnonHugePages_bytes;node_memory_AnonPages_bytes;node_memory_Buffers_bytes;node_memory_Cached_bytes;node_memory_Committed_AS_bytes;node_memory_DirectMap2M_bytes;node_memory_DirectMap4k_bytes;node_memory_Dirty_bytes;node_memory_Inactive_anon_bytes;node_memory_Inactive_bytes;node_memory_Inactive_file_bytes;node_memory_KernelStack_bytes;node_memory_Mapped_bytes;node_memory_MemAvailable_bytes;node_memory_MemFree_bytes;node_memory_PageTables_bytes;node_memory_SReclaimable_bytes;node_memory_SUnreclaim_bytes;node_memory_Shmem_bytes;node_memory_Slab_bytes;node_procs_running;node_sockstat_TCP_alloc;node_sockstat_TCP_mem;node_sockstat_TCP_mem_bytes;node_sockstat_sockets_used;node_time_seconds;node_timex_frequency_adjustment_ratio;node_timex_maxerror_seconds;node_timex_offset_seconds;process_resident_memory_bytes;process_start_time_seconds
2021-03-01 07:01:00;7.0;2700800.0;1.48982783249e-05;3582216.0;2700800.0;61988864.0;4268032.0;8082.0;60858368.0;66256896.0;1614582087.9638784;76704.0;5263600.0;663385.0;851968.0;851968.0;15.0;1605086741.0;2995.0;3040.0;0.03;0.15;0.16;1091018752.0;2388832256.0;1297813504.0;136314880.0;1183977472.0;370798592.0;1857884160.0;5482733568.0;7925137408.0;664731648.0;24576.0;1699840.0;1036156928.0;1034457088.0;16502784.0;454017024.0;6675255296.0;4260749312.0;13885440.0;394387456.0;151760896.0;3391488.0;546148352.0;4.0;75.0;3.0;12288.0;598.0;1614582117.9592702;1.000028061141968;2.017;-1.85e-07;25243648.0;1612092282.88
2021-03-01 07:02:00;7.0;2778312.0;1.48982198098e-05;3582216.0;2778312.0;61931520.0;4325376.0;8111.0;60686336.0;66256896.0;1614582147.9646952;79560.0;5413296.0;663385.0;851968.0;851968.0;15.0;1605086741.0;3045.0;3008.0;0.09;0.14;0.14;1091940352.0;2389839872.0;1297899520.0;136314880.0;1184727040.0;370843648.0;1858060288.0;5485895680.0;7925137408.0;664731648.0;32768.0;1699840.0;1036292096.0;1034592256.0;16502784.0;454025216.0;6673850368.0;4259405824.0;13889536.0;394104832.0;151781376.0;3391488.0;545886208.0;6.0;79.0;10.0;40960.0;602.0;1614582177.9608593;1.000028061141968;2.047;-1.64e-07;25243648.0;1612092282.88
2021-03-01 07:03:00;7.0;2742400.0;1.48981490754e-05;3582216.0;2742400.0;61956096.0;4300800.0;8100.0;60768256.0;66256896.0;1614582207.9656613;74800.0;5342864.0;663385.0;851968.0;851968.0;15.0;1605086741.0;3097.0;3040.0;0.13;0.14;0.15;1091072000.0;2389049344.0;1297977344.0;136314880.0;1183772672.0;370880512.0;1858105344.0;5483511808.0;7925137408.0;664731648.0;8192.0;1699840.0;1036296192.0;1034596352.0;16539648.0;454025216.0;6674853888.0;4260347904.0;13889536.0;394084352.0;151552000.0;3391488.0;545636352.0;9.0;76.0;8.0;32768.0;599.0;1614582237.961152;1.0000280541534423;0.029;-2.0434e-05;25243648.0;1612092282.88
2021-03-01 07:04:00;7.0;3400840.0;1.48979952345e-05;3582216.0;3400840.0;60948480.0;5275648.0;13437.0;60252160.0;66224128.0;1614582267.9621575;85000.0;4642032.0;663385.0;884736.0;884736.0;15.0;1605086741.0;3142.0;3040.0;0.05;0.13;0.12;1091051520.0;2389106688.0;1298055168.0;136314880.0;1183928320.0;370917376.0;1858146304.0;5485928448.0;7925137408.0;664731648.0;16384.0;1699840.0;1036296192.0;1034596352.0;16474112.0;454029312.0;6674886656.0;4260331520.0;13889536.0;394055680.0;151695360.0;3391488.0;545751040.0;5.0;76.0;7.0;28672.0;599.0;1614582297.961491;1.0000280541534423;0.059;-1.8172e-05;25243648.0;1612092282.88
2021-03-01 07:05:00;7.0;2838616.0;1.48979258073e-05;3582216.0;2838616.0;61562880.0;4661248.0;9241.0;60055552.0;66224128.0;1614582327.9644284;86904.0;5539920.0;663385.0;884736.0;884736.0;15.0;1605086741.0;2930.0;3008.0;0.08;0.13;0.12;1091158016.0;2389270528.0;1298112512.0;136314880.0;1184034816.0;370933760.0;1858195456.0;5483687936.0;7925137408.0;664731648.0;143360.0;1699840.0;1036304384.0;1034604544.0;16465920.0;454033408.0;6674726912.0;4260225024.0;13889536.0;393936896.0;151670784.0;3391488.0;545607680.0;5.0;76.0;2.0;8192.0;599.0;1614582357.9597054;1.0000280541534423;0.089;-1.6161e-05;25243648.0;1612092282.88
2021-03-01 07:06:00;7.0;3995544.0;1.4897845815e-05;3582216.0;3995544.0;60915712.0;5308416.0;20711.0;60252160.0;66224128.0;1614582357.9631126;81192.0;5338512.0;663385.0;884736.0;884736.0;15.0;1605086741.0;2979.0;3040.0;0.18;0.14;0.15;1091629056.0;2389823488.0;1298194432.0;136314880.0;1184407552.0;370974720.0;1858236416.0;5482733568.0;7925137408.0;664731648.0;8192.0;1699840.0;1036304384.0;1034604544.0;16449536.0;454033408.0;6674292736.0;4259577856.0;13889536.0;394067968.0;151699456.0;3391488.0;545767424.0;7.0;77.0;9.0;36864.0;600.0;1614582417.959942;1.0000280541534423;0.119;-1.4372e-05;25243648.0;1612092282.88
2021-03-01 07:07:00;7.0;5515048.0;1.48976909918e-05;3582216.0;5515048.0;59392000.0;6864896.0;26303.0;58318848.0;66256896.0;1614582417.9665136;89896.0;6849552.0;663385.0;851968.0;851968.0;15.0;1605086741.0;3029.0;3040.0;0.12;0.13;0.14;1082273792.0;2380566528.0;1298292736.0;136314880.0;1174888448.0;371032064.0;1858289664.0;5469581312.0;7925137408.0;664731648.0;159744.0;1699840.0;1036316672.0;1034616832.0;16547840.0;454037504.0;6683918336.0;4269129728.0;13852672.0;394031104.0;151724032.0;3391488.0;545755136.0;5.0;79.0;3.0;12288.0;602.0;1614582477.960861;1.0000280541534423;0.149;-1.2781e-05;25243648.0;1612092282.88
2021-03-01 07:08:00;8.0;4763664.0;1.48976844685e-05;3582216.0;4763664.0;60006400.0;6184960.0;27089.0;58859520.0;66191360.0;1614582477.9631584;100504.0;6514256.0;663385.0;917504.0;917504.0;15.0;1605086741.0;3078.0;3072.0;0.04;0.12;0.11;1084780544.0;2383142912.0;1298362368.0;136314880.0;1177649152.0;371060736.0;1858330624.0;5465939968.0;7925137408.0;664731648.0;135168.0;1699840.0;1036316672.0;1034616832.0;16461824.0;454041600.0;6681677824.0;4266811392.0;13856768.0;394039296.0;151822336.0;3391488.0;545861632.0;7.0;76.0;5.0;20480.0;599.0;1614582537.9588244;1.0000280541534423;0.179;-1.1366e-05;25243648.0;1612092282.88
2021-03-01 07:09:00;9.0;2784776.0;1.48974957379e-05;3582216.0;2784776.0;61792256.0;4431872.0;8166.0;60416000.0;66224128.0;1614582567.963237;99552.0;5422384.0;663385.0;884736.0;884736.0;15.0;1605086741.0;3124.0;3072.0;0.11;0.12;0.12;1085149184.0;2383585280.0;1298436096.0;136314880.0;1177845760.0;371093504.0;1858379776.0;5467787264.0;7925137408.0;664731648.0;28672.0;1699840.0;1036324864.0;1034625024.0;16478208.0;454041600.0;6681079808.0;4266061824.0;13856768.0;394108928.0;151855104.0;3391488.0;545964032.0;6.0;76.0;12.0;49152.0;599.0;1614582597.960461;1.0000280541534423;0.209;-1.0108e-05;25243648.0;1612092282.88
2021-03-01 07:10:00;8.0;3190640.0;1.48973662377e-05;3582216.0;3190640.0;61202432.0;5021696.0;11915.0;61022208.0;66224128.0;1614582627.9620342;91936.0;4404368.0;663385.0;884736.0;884736.0;15.0;1605086741.0;2914.0;3072.0;0.04;0.11;0.09;1086177280.0;2384707584.0;1298530304.0;136314880.0;1179136000.0;371130368.0;1858420736.0;5468499968.0;7925137408.0;664731648.0;8192.0;1699840.0;1036308480.0;1034608640.0;16470016.0;454045696.0;6680375296.0;4265140224.0;13856768.0;394248192.0;151777280.0;3391488.0;546025472.0;3.0;76.0;9.0;36864.0;599.0;1614582657.95899;1.0000280541534423;0.239;-8.989e-06;25243648.0;1612092282.88
